opcode,cycles
0x00,12
0x01,24
0x02,24
0x03,12
0x04,12
0x05,12
0x06,12
0x08,12
0x10,24
0x11,24
0x12,24
0x13,12
0x14,12
0x15,12
0x16,12
0x18,12
0x20,24
0x22,24
0x23,12
0x24,12
0x25,12
0x26,12
0x28,12
0x30,24
0x32,24
0x33,12
0x34,12
0x35,12
0x36,12
0x38,12
0x40,24
0x42,12
0x43,24
0x44,12
0x45,12
0x46,12
0x48,12
0x50,24
0x52,12
0x53,24
0x54,12
0x55,12
0x56,12
0x58,12
0x60,24
0x62,12
0x63,24
0x64,12
0x65,12
0x66,12
0x68,12
0x70,24
0x72,24
0x73,24
0x74,12
0x75,24
0x76,12
0x78,12
0x80,24
0x82,24
0x83,24
0x84,48
0x85,24
0x86,24
0x88,24
0x90,24
0x92,24
0x93,24
0x94,12
0x95,12
0x96,12
0x98,12
0xA0,24
0xA2,12
0xA3,24
0xA4,48
0xA6,24
0xA8,24
0xB0,24
0xB2,12
0xB3,12
0xB4,24
0xB5,24
0xB6,24
0xB8,24
0xC0,24
0xC2,12
0xC3,12
0xC4,12
0xC5,12
0xC6,12
0xC8,12
0xD0,24
0xD2,12
0xD3,12
0xD4,12
0xD5,24
0xD6,12
0xD8,24
0xE0,24
0xE2,24
0xE4,12
0xE5,12
0xE6,12
0xE8,12
0xF0,24
0xF2,24
0xF4,12
0xF5,12
0xF6,12
0xF8,12
