opcode,cycles
0x28,1
0x25,2
0x26,2
0x24,2
0x38,1
0x35,2
0x36,2
0x34,2
0x98,1
0x95,2
0x96,2
0x94,2
0x08,1
0x05,2
0x06,2
0x04,2
0x18,1
0x15,2
0x16,2
0x14,2
0xA3,2
0xA4,2
0x84,4
0xD4,1
0xE4,1
0xF4,1
0x58,1
0x55,2
0x56,2
0x54,2
0x52,2
0x53,3
0x48,1
0x45,2
0x46,2
0x44,2
0x42,2
0x43,3
0x68,1
0x65,2
0x66,2
0x64,2
0x62,2
0x63,3
0x23,1
0x33,1
0x03,1
0x13,1
0xC4,1
0xE8,1
0xE5,2
0xE6,2
0x74,2
0xF8,1
0xA8,2
0x78,2
0xF5,2
0x88,2
0x85,3
0x86,2
0x75,3
0xF6,1
0xA6,2
0x76,2
0x90,3
0x93,3
0x83,3
0xE2,2
0xE0,4
0xF2,2
0xF0,4
0xC0,2
0xD0,2
0xC8,1
0xC5,2
0xC6,2
0xD6,2
0xC3,1
0xC2,2
0xD3,1
0xD2,2
0xB3,1
0xB2,2
0x82,2
0xB0,2
0x72,2
0xA0,2
0xA2,2
0x92,2
0x40,3
0x50,3
0x20,4
0x30,4
0x10,4
0x60,3
0x70,3
0x80,3
0x11,3
0x12,4
0x22,4
0x32,4
0x01,3
0x02,4
0x73,2
0xB5,4
0xB4,4
0xB8,4
0xB6,4
0xD8,3
0xD5,4
0x00,1
