opcode,cycles
0x28,4
0x25,8
0x26,4
0x24,8
0x38,4
0x35,8
0x36,4
0x34,8
0x98,4
0x95,8
0x96,4
0x94,8
0x04,4
0x08,4
0x05,8
0x06,4
0x14,4
0x18,4
0x15,8
0x16,4
0xA3,12
0xA4,20
0x84,20
0xD4,4
0x58,4
0x55,8
0x56,4
0x54,8
0x52,8
0x53,12
0x48,4
0x45,8
0x46,4
0x44,8
0x42,8
0x43,12
0x68,4
0x65,8
0x66,4
0x64,8
0x62,8
0x63,12
0xE4,4
0xF4,4
0xC4,4
0x23,4
0x33,4
0x03,4
0x13,4
0xE8,4
0xE5,8
0xE6,4
0x74,8
0xF8,4
0xA8,8
0x78,8
0xF5,8
0x88,8
0x85,12
0x86,8
0x75,12
0xF6,4
0xA6,8
0x76,8
0x90,12
0x93,12
0x83,12
0xE2,8
0xE0,8
0xF2,8
0xF0,8
0xC0,8
0xD0,8
0xC8,4
0xC5,8
0xC6,4
0xD6,4
0xC3,4
0xC2,8
0xD3,4
0xD2,8
0xB3,4
0xB2,8
0x82,8
0xB0,8
0x72,8
0xA0,8
0xA2,8
0x92,8
0x11,12
0x12,16
0x22,16
0x32,16
0x01,12
0x02,16
0x80,12
0x40,12
0x50,12
0x20,16
0x30,16
0x10,16
0x73,12
0x60,12
0x70,12
0xB5,16
0xB4,16
0xB8,16
0xB6,16
0xD8,12
0xD5,16
0x00,4
