opcode,cycles
0x25,1
0x26,1
0x28,1
0x24,1
0x35,1
0x36,1
0x38,1
0x34,1
0x95,1
0x96,1
0x98,1
0x94,1
0x04,1
0x05,1
0x06,1
0x08,1
0xA3,2
0x14,1
0x15,1
0x16,1
0x18,1
0xA4,4
0x84,4
0xD4,1
0x55,1
0x56,1
0x58,1
0x54,1
0x52,1
0x53,2
0x45,1
0x46,1
0x48,1
0x44,1
0x42,1
0x43,2
0x65,1
0x66,1
0x68,1
0x64,1
0x62,1
0x63,2
0xE4,1
0xF4,1
0x23,1
0x33,1
0x03,1
0x13,1
0xC4,1
0xE5,1
0xE6,1
0xE8,1
0x74,1
0xF5,1
0xF6,1
0xF8,1
0x85,2
0x86,2
0x88,2
0x75,2
0xA6,2
0x76,2
0xA8,2
0x78,2
0x90,2
0xC0,2
0xD0,2
0xC5,1
0xC6,1
0xC8,1
0xD6,1
0xE2,2
0xF2,2
0xE0,2
0xF0,2
0x93,2
0x83,2
0x82,2
0xB0,2
0x72,2
0xA0,2
0xA2,1
0x92,2
0xC3,1
0xC2,1
0xD3,1
0xD2,1
0xB3,1
0xB2,1
0x40,2
0x50,2
0x20,2
0x30,2
0x10,2
0x01,2
0x02,2
0x80,2
0x73,2
0x11,2
0x12,2
0x22,2
0x32,2
0x00,1
0x60,2
0x70,2
0xD5,2
0xD8,2
0xB5,2
0xB4,2
0xB6,2
0xB8,2
