opcode,cycles
0x28,1
0x25,2
0x26,2
0x24,2
0x38,1
0x35,2
0x36,2
0x34,2
0x98,1
0x95,2
0x96,2
0x94,2
0x04,1
0x08,2
0x05,3
0x06,3
0x14,1
0x18,2
0x15,3
0x16,3
0xA3,1
0xA4,2
0x84,6
0xD4,3
0x58,1
0x55,2
0x56,2
0x54,2
0x52,3
0x53,3
0x48,1
0x45,2
0x46,2
0x44,2
0x42,3
0x43,3
0x68,1
0x65,2
0x66,2
0x64,2
0x62,3
0x63,3
0xE4,1
0xF4,1
0x23,1
0x33,1
0x03,1
0x13,1
0xC4,1
0xE8,1
0xE5,2
0xE6,2
0x74,2
0xF8,1
0xA8,3
0x78,2
0xF5,2
0x88,2
0x85,3
0x86,3
0x75,3
0xF6,2
0xA6,3
0x76,2
0x90,3
0x93,5
0x83,4
0xE2,3
0xF2,4
0xE0,2
0xF0,3
0xC0,3
0xD0,2
0xC8,2
0xC5,3
0xC6,3
0xD6,3
0xC3,1
0xC2,3
0xD3,1
0xD2,3
0xB3,1
0xB2,3
0x82,2
0xB0,2
0x72,2
0xA0,2
0xA2,2
0x92,3
0x40,3
0x50,3
0x20,5
0x30,5
0x10,5
0x11,4
0x12,4
0x22,4
0x32,4
0x01,3
0x02,4
0x80,3
0x73,5
0x60,4
0x70,4
0xB5,5
0xB4,4
0xB8,4
0xB6,5
0xD8,4
0xD5,5
0x00,1
