opcode,cycles
0x00,1
0x01,3
0x02,3
0x03,1
0x04,1
0x05,2
0x06,1
0x08,1
0x10,3
0x11,3
0x12,3
0x13,1
0x14,1
0x15,2
0x16,1
0x18,1
0x20,3
0x22,3
0x23,1
0x24,2
0x25,2
0x26,1
0x28,1
0x30,3
0x32,3
0x33,1
0x34,2
0x35,2
0x36,1
0x38,1
0x40,2
0x42,2
0x43,3
0x44,2
0x45,2
0x46,1
0x48,1
0x50,2
0x52,1
0x53,3
0x54,2
0x55,2
0x56,1
0x58,1
0x60,2
0x62,2
0x63,3
0x64,2
0x65,2
0x66,1
0x68,1
0x70,2
0x72,2
0x73,2
0x74,2
0x75,3
0x76,2
0x78,2
0x80,3
0x82,2
0x83,2
0x84,12
0x85,3
0x86,2
0x88,2
0x90,3
0x92,2
0x93,2
0x94,2
0x95,2
0x96,1
0x98,1
0xA0,2
0xA2,2
0xA3,1
0xA4,1
0xA6,2
0xA8,2
0xB0,2
0xB2,2
0xB3,1
0xB4,3
0xB5,3
0xB6,3
0xB8,3
0xC0,3
0xC2,2
0xC3,1
0xC4,1
0xC5,2
0xC6,1
0xC8,1
0xD0,3
0xD2,2
0xD3,1
0xD4,1
0xD5,3
0xD6,1
0xD8,2
0xE0,2
0xE2,2
0xE4,1
0xE5,2
0xE6,1
0xE8,1
0xF0,1
0xF2,1
0xF4,1
0xF5,2
0xF6,1
0xF8,1
